                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.73675,                 1.6379,                 1.1696,                 0.9695,                 0.9256,                0.98322,                0.86339,                0.49886,                0.43491,                0.88764,               0.070441,              0.0032843,              0.0032843
                      1,                0.65373,                0.59116,                 1.0699,                0.97518,                0.95944,                0.98172,                0.85915,                0.56138,                0.41816,                0.93673,               0.040422,              0.0065989,              0.0065989
                      2,                0.72548,                0.67313,                 1.0973,                0.91354,                 0.9373,                0.95817,                0.77093,                0.70621,                0.64249,                 1.0835,               0.010385,              0.0098947,              0.0098947
                      3,                0.76571,                0.63056,                  1.125,                0.95355,                0.93433,                0.97626,                0.83516,                0.60689,                0.59346,                0.95298,              0.0099151,              0.0099151,              0.0099151
                      4,                0.79896,                0.63736,                 1.1402,                0.93658,                0.98438,                0.97744,                0.82799,                0.62612,                0.47702,                 0.9877,              0.0099151,              0.0099151,              0.0099151
                      5,                0.77313,                 0.6021,                 1.1042,                0.88002,                0.83189,                0.91896,                0.76139,                0.63121,                0.70805,                0.97698,              0.0098869,              0.0098869,              0.0098869
                      6,                0.74999,                0.60918,                 1.1085,                0.94824,                0.89574,                0.94113,                  0.803,                 0.6283,                0.55369,                  1.007,              0.0098586,              0.0098586,              0.0098586
                      7,                0.78681,                0.59843,                 1.1262,                0.95317,                0.94075,                0.97991,                0.84296,                0.58705,                0.54781,                0.93997,              0.0098303,              0.0098303,              0.0098303
                      8,                0.74836,                0.55716,                 1.1087,                  0.962,                0.97144,                0.98197,                0.85432,                0.57097,                0.44099,                 0.9306,               0.009802,               0.009802,               0.009802
                      9,                0.75743,                0.56805,                 1.1121,                0.96091,                0.95815,                0.97497,                0.84689,                  0.567,                0.44048,                0.93433,              0.0097737,              0.0097737,              0.0097737
                     10,                0.76584,                0.56583,                 1.1191,                0.94137,                0.95804,                0.97893,                0.85139,                0.55644,                0.42449,                0.91967,              0.0097454,              0.0097454,              0.0097454
                     11,                0.74276,                0.55305,                  1.121,                0.95665,                0.98284,                0.97668,                0.87741,                0.51532,                0.41141,                0.90447,              0.0097171,              0.0097171,              0.0097171
                     12,                0.72275,                0.52864,                 1.1088,                0.96628,                0.96837,                0.98719,                0.87147,                0.53174,                 0.3965,                 0.9118,              0.0096889,              0.0096889,              0.0096889
                     13,                0.72737,                0.54114,                 1.0979,                0.96058,                0.95922,                0.97752,                0.84876,                0.56255,                 0.4101,                0.93821,              0.0096606,              0.0096606,              0.0096606
                     14,                0.71599,                0.53888,                 1.0895,                0.94353,                0.96558,                0.97908,                0.86247,                0.56416,                0.42519,                0.93857,              0.0096323,              0.0096323,              0.0096323
                     15,                0.70483,                0.52802,                 1.0732,                0.96811,                0.97804,                0.98899,                 0.8674,                0.53742,                0.40781,                0.90005,               0.009604,               0.009604,               0.009604
                     16,                0.71167,                0.51639,                 1.0956,                0.96356,                0.97535,                0.98991,                0.88712,                0.52541,                0.40809,                0.91613,              0.0095757,              0.0095757,              0.0095757
                     17,                0.71956,                0.51577,                 1.1018,                0.94998,                0.97917,                 0.9827,                0.87412,                0.50897,                0.38257,                0.89227,              0.0095474,              0.0095474,              0.0095474
                     18,                0.70449,                0.47731,                 1.0843,                 0.9713,                0.96717,                0.98565,                0.88501,                0.50121,                0.34673,                0.89444,              0.0095191,              0.0095191,              0.0095191
