                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.78947,                 2.0145,                 1.2506,                0.92635,                0.96176,                0.98101,                0.88702,                 0.4838,                0.47574,                0.97716,               0.070526,              0.0032749,              0.0032749
                      1,                0.63645,                0.59289,                 1.0948,                0.75787,                0.81101,                0.93538,                0.84449,                0.50122,                0.91239,                0.98007,               0.040494,              0.0065755,              0.0065755
                      2,                0.71453,                0.64244,                 1.0992,                0.93617,                0.87863,                0.96632,                0.84772,                0.53822,                0.66573,                  1.015,               0.010428,              0.0098431,              0.0098431
                      3,                0.76785,                0.62323,                 1.1334,                0.94672,                0.95904,                0.97549,                0.86066,                0.53232,                0.95591,                 1.0562,              0.0098515,              0.0098515,              0.0098515
                      4,                0.77298,                0.62797,                 1.1362,                0.93077,                0.97941,                0.98032,                0.84261,                0.61514,                0.77388,                 1.1251,              0.0098515,              0.0098515,              0.0098515
                      5,                0.75818,                0.60434,                 1.1437,                0.76355,                0.60036,                0.72092,                0.56672,                0.85695,                 2.2046,                 1.3324,               0.009802,               0.009802,               0.009802
                      6,                0.75466,                0.56236,                 1.1371,                0.92408,                0.86038,                0.95181,                0.84964,                0.55975,                0.77925,                 1.0326,              0.0097525,              0.0097525,              0.0097525
                      7,                0.75155,                0.57291,                 1.1368,                0.93797,                0.95951,                0.97446,                0.83753,                0.60132,                0.67081,                 1.0777,               0.009703,               0.009703,               0.009703
                      8,                0.76095,                0.57051,                 1.1377,                0.92356,                0.96455,                0.97523,                0.87763,                0.50995,                0.59815,                0.98176,              0.0096535,              0.0096535,              0.0096535
                      9,                0.70801,                    inf,                 1.0856,                0.94581,                0.97043,                0.98465,                 0.8927,                  0.517,                0.49126,                 0.9716,               0.009604,               0.009604,               0.009604
                     10,                0.73498,                0.52948,                 1.1318,                0.94094,                0.98206,                0.98646,                0.83641,                0.67282,                0.48996,                 1.1224,              0.0095545,              0.0095545,              0.0095545
                     11,                0.74636,                0.52656,                 1.1234,                 0.9477,                0.96848,                 0.9779,                 0.8754,                0.51571,                0.47855,                0.97327,               0.009505,               0.009505,               0.009505
                     12,                0.72517,                0.50621,                 1.1163,                0.95732,                0.94786,                0.98131,                0.87443,                0.53126,                0.65596,                 1.0165,              0.0094555,              0.0094555,              0.0094555
                     13,                0.69886,                0.48703,                 1.0915,                0.97669,                0.97118,                0.98303,                0.88044,                0.50781,                0.38668,                0.98006,               0.009406,               0.009406,               0.009406
                     14,                0.70645,                0.48175,                 1.0956,                0.97743,                 0.9734,                0.98512,                0.90826,                0.46821,                0.36628,                0.92769,              0.0093565,              0.0093565,              0.0093565
                     15,                0.68984,                0.46786,                 1.0869,                0.97073,                0.97229,                0.97706,                0.87742,                  0.526,                0.39573,                  0.998,               0.009307,               0.009307,               0.009307
                     16,                 0.6858,                0.47312,                 1.0802,                0.97574,                0.98156,                0.98224,                0.90777,                0.45156,                0.36413,                0.93766,              0.0092575,              0.0092575,              0.0092575
                     17,                0.71403,                0.49311,                 1.1091,                 0.9433,                0.98263,                0.97153,                0.88113,                0.51541,                0.36268,                0.98846,               0.009208,               0.009208,               0.009208
                     18,                0.69834,                0.48703,                 1.1092,                0.97479,                0.98572,                0.98965,                0.92257,                 0.4347,                0.32128,                0.90966,              0.0091585,              0.0091585,              0.0091585
                     19,                0.65501,                0.46876,                  1.077,                 0.9717,                0.97791,                0.98221,                0.89024,                0.49407,                0.34469,                0.95226,               0.009109,               0.009109,               0.009109
                     20,                0.71951,                 0.4686,                 1.1003,                  0.979,                0.97897,                0.97974,                0.90114,                0.46698,                0.31719,                 0.9335,              0.0090595,              0.0090595,              0.0090595
                     21,                0.68647,                0.46985,                 1.0905,                0.96258,                0.99097,                0.98366,                0.90569,                0.47867,                0.32697,                0.94162,                0.00901,                0.00901,                0.00901
                     22,                0.66676,                0.45563,                 1.0764,                0.95049,                0.98288,                0.98502,                0.90852,                0.46593,                0.34991,                 0.9593,              0.0089605,              0.0089605,              0.0089605
                     23,                0.65237,                0.44224,                 1.0682,                 0.9771,                0.98735,                0.98499,                 0.9129,                0.45055,                0.30969,                0.92442,               0.008911,               0.008911,               0.008911
                     24,                0.66401,                0.42739,                 1.0763,                  0.975,                0.98263,                0.98391,                0.90565,                0.44045,                0.32789,                0.91735,              0.0088615,              0.0088615,              0.0088615
                     25,                0.65388,                0.42793,                 1.0829,                0.96339,                0.99016,                0.98565,                0.91503,                0.43211,                0.31517,                0.90417,               0.008812,               0.008812,               0.008812
                     26,                0.63848,                0.42151,                 1.0537,                0.96274,                0.98735,                0.98024,                0.90162,                0.43883,                0.31936,                 0.9173,              0.0087625,              0.0087625,              0.0087625
                     27,                  0.644,                0.41923,                 1.0678,                 0.9325,                0.97459,                0.97107,                0.90242,                0.43225,                0.38715,                0.89992,               0.008713,               0.008713,               0.008713
                     28,                0.63627,                0.41998,                 1.0597,                 0.9756,                0.97767,                 0.9852,                0.91289,                0.44298,                0.30172,                 0.9186,              0.0086635,              0.0086635,              0.0086635
                     29,                0.64555,                0.43325,                 1.0543,                0.96556,                0.98508,                 0.9863,                0.90227,                0.49835,                 0.3441,                0.95733,               0.008614,               0.008614,               0.008614
