                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.86818,                 1.5424,                 1.1717,                0.92876,                0.96225,                0.97537,                0.81877,                0.60596,                0.67643,                0.93379,               0.070071,              0.0033254,              0.0033254
                      1,                0.74778,                0.83706,                 1.0833,                0.94524,                0.94329,                0.96297,                0.77298,                0.71513,                0.61399,                 1.0719,               0.040055,              0.0066422,              0.0066422
                      2,                0.78514,                 0.8099,                 1.1094,                0.93585,                0.96655,                 0.9758,                0.78952,                0.71324,                 0.6186,                 1.0283,               0.010022,              0.0099426,              0.0099426
                      3,                0.81237,                0.79197,                 1.1236,                0.97768,                0.90895,                0.97966,                0.79608,                0.74187,                 0.5452,                 1.0263,              0.0099258,              0.0099258,              0.0099258
                      4,                0.75662,                0.70175,                 1.1014,                0.91558,                  0.925,                0.94343,                0.75943,                 0.7152,                 0.6923,                 1.0062,              0.0099258,              0.0099258,              0.0099258
                      5,                0.72179,                0.66481,                 1.0849,                0.94224,                0.98484,                0.98254,                0.83783,                0.58702,                 0.4275,                0.92854,               0.009901,               0.009901,               0.009901
                      6,                0.68804,                0.60904,                  1.066,                0.96852,                0.96589,                0.98545,                0.82591,                0.63706,                 0.4105,                0.97388,              0.0098763,              0.0098763,              0.0098763
                      7,                0.65998,                0.57729,                 1.0563,                0.96984,                0.96306,                0.98425,                0.82667,                0.63778,                0.39338,                0.97938,              0.0098515,              0.0098515,              0.0098515
                      8,                0.64382,                0.56257,                 1.0447,                0.95744,                0.97575,                0.98467,                0.83767,                0.59669,                0.39219,                0.94503,              0.0098268,              0.0098268,              0.0098268
                      9,                0.62679,                0.54118,                 1.0335,                0.95725,                 0.9816,                0.98075,                0.82648,                0.60817,                0.38772,                0.94894,               0.009802,               0.009802,               0.009802
