                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87897,                 1.1437,                 1.2404,                0.96177,                0.98137,                0.98357,                0.87246,                 0.5147,                0.32782,                0.87745,               0.070089,              0.0033234,              0.0033234
                      1,                0.81752,                0.67626,                 1.1503,                0.95549,                0.93088,                0.98139,                0.85538,                0.54951,                0.42114,                0.90605,               0.040073,              0.0066403,              0.0066403
                      2,                0.87167,                 0.7197,                 1.1805,                0.95289,                0.96589,                0.98258,                0.84226,                 0.5993,                0.45519,                0.95184,                0.01004,              0.0099406,              0.0099406
                      3,                0.92472,                0.74246,                 1.2089,                0.96022,                0.93668,                0.98079,                0.82071,                  0.637,                0.47124,                0.97208,              0.0099258,              0.0099258,              0.0099258
                      4,                0.90367,                0.70967,                 1.2008,                0.93648,                0.97519,                0.97879,                0.83279,                0.58541,                0.48034,                 0.9548,              0.0099258,              0.0099258,              0.0099258
                      5,                0.88024,                0.67522,                 1.1916,                 0.9639,                  0.979,                0.98964,                0.86617,                0.55832,                0.35981,                0.94974,               0.009901,               0.009901,               0.009901
                      6,                0.84794,                0.65279,                 1.1703,                0.96782,                0.97316,                0.98709,                0.87106,                0.54368,                0.38367,                0.92179,              0.0098763,              0.0098763,              0.0098763
                      7,                  0.834,                0.62506,                 1.1573,                0.95663,                0.96485,                0.98873,                0.86359,                0.55813,                0.42449,                0.91893,              0.0098515,              0.0098515,              0.0098515
                      8,                0.82971,                0.60421,                 1.1532,                0.97529,                0.97103,                0.98545,                0.85795,                0.58373,                0.37018,                0.93493,              0.0098268,              0.0098268,              0.0098268
                      9,                0.81239,                0.58929,                 1.1463,                0.96575,                 0.9768,                0.99184,                0.87256,                0.53456,                 0.3374,                0.90344,               0.009802,               0.009802,               0.009802
                     10,                0.80708,                0.57598,                 1.1372,                0.97575,                0.97079,                0.98929,                0.86945,                0.52986,                0.34923,                0.91192,              0.0097773,              0.0097773,              0.0097773
                     11,                0.79482,                0.57746,                 1.1287,                0.97261,                0.98584,                0.98853,                0.86654,                0.56135,                0.33996,                0.91849,              0.0097525,              0.0097525,              0.0097525
                     12,                0.77711,                0.55572,                 1.1163,                0.96025,                0.98853,                0.98616,                0.87058,                0.53619,                0.34566,                0.90011,              0.0097278,              0.0097278,              0.0097278
                     13,                0.76322,                0.54552,                 1.1122,                 0.9742,                0.98402,                0.98783,                0.87541,                0.50767,                0.30789,                0.89075,               0.009703,               0.009703,               0.009703
                     14,                0.76145,                0.53832,                 1.1109,                0.96964,                0.99174,                0.98832,                 0.8802,                0.51402,                0.32327,                0.89013,              0.0096783,              0.0096783,              0.0096783
                     15,                0.75709,                0.53014,                 1.1058,                0.96995,                0.98328,                0.98826,                0.88239,                 0.5054,                0.30951,                0.89964,              0.0096535,              0.0096535,              0.0096535
                     16,                0.75001,                0.52933,                 1.1014,                0.96998,                0.97673,                0.98981,                0.87881,                0.53409,                0.33391,                 0.9019,              0.0096288,              0.0096288,              0.0096288
                     17,                0.74565,                0.51905,                 1.0952,                0.97496,                0.98915,                0.99091,                0.89965,                0.49134,                0.29186,                  0.881,               0.009604,               0.009604,               0.009604
                     18,                0.72734,                0.49976,                 1.0887,                0.97102,                0.99319,                0.98971,                0.89107,                0.52844,                0.31329,                0.89137,              0.0095793,              0.0095793,              0.0095793
                     19,                0.73497,                0.50708,                 1.0993,                0.96744,                0.98711,                0.98867,                0.88291,                 0.4874,                0.30358,                0.88824,              0.0095545,              0.0095545,              0.0095545
                     20,                0.73095,                0.50128,                 1.0917,                0.96478,                0.99167,                 0.9897,                0.89485,                 0.4982,                0.28621,                0.88518,              0.0095298,              0.0095298,              0.0095298
                     21,                0.72793,                0.49263,                 1.0884,                0.97951,                0.98803,                0.99173,                0.89041,                0.48946,                0.29684,                0.87681,               0.009505,               0.009505,               0.009505
                     22,                0.71389,                0.47823,                 1.0787,                 0.9646,                0.98958,                0.98747,                0.88829,                0.48745,                0.29235,                0.87489,              0.0094803,              0.0094803,              0.0094803
                     23,                0.72025,                0.48913,                 1.0875,                 0.9669,                0.97884,                0.98768,                0.89362,                0.48495,                0.29167,                0.87453,              0.0094555,              0.0094555,              0.0094555
                     24,                0.70974,                0.47448,                 1.0773,                0.96701,                  0.989,                0.98879,                0.88831,                0.49218,                0.29055,                0.87289,              0.0094307,              0.0094307,              0.0094307
                     25,                0.70379,                0.46902,                 1.0724,                0.97468,                0.97731,                0.98912,                0.90385,                0.48698,                0.28088,                0.88144,               0.009406,               0.009406,               0.009406
                     26,                0.70875,                0.47238,                 1.0715,                 0.9729,                0.98165,                0.98934,                 0.8946,                 0.4896,                0.28221,                0.86793,              0.0093813,              0.0093813,              0.0093813
                     27,                0.70246,                0.46054,                 1.0678,                0.96873,                0.98801,                0.98914,                 0.8997,                0.50571,                0.27465,                0.88271,              0.0093565,              0.0093565,              0.0093565
                     28,                0.69867,                0.46346,                 1.0707,                0.97826,                0.98326,                0.98875,                 0.8922,                0.50201,                0.28727,                0.88993,              0.0093317,              0.0093317,              0.0093317
                     29,                0.70206,                0.45822,                 1.0779,                0.98103,                0.98478,                0.98862,                 0.9019,                0.46987,                0.26569,                0.86013,               0.009307,               0.009307,               0.009307
                     30,                0.68641,                0.45012,                 1.0633,                0.97295,                0.98889,                0.99229,                0.90363,                0.47929,                0.26756,                0.86863,              0.0092823,              0.0092823,              0.0092823
                     31,                 0.6874,                 0.4513,                 1.0597,                0.97143,                0.99265,                0.98712,                0.89604,                0.47367,                0.27489,                0.85991,              0.0092575,              0.0092575,              0.0092575
                     32,                0.67997,                0.45384,                 1.0544,                0.97663,                0.98685,                0.98859,                0.89867,                 0.4667,                0.27917,                0.85648,              0.0092327,              0.0092327,              0.0092327
                     33,                0.67943,                 0.4454,                 1.0562,                0.97279,                0.98412,                0.98781,                0.88856,                0.49582,                0.27739,                0.88505,               0.009208,               0.009208,               0.009208
                     34,                0.67798,                0.44571,                 1.0546,                0.97651,                0.98775,                0.98816,                0.90476,                0.47073,                0.26623,                0.85992,              0.0091833,              0.0091833,              0.0091833
                     35,                0.67107,                0.44178,                 1.0492,                0.97394,                  0.987,                0.98889,                0.89922,                0.49541,                0.27067,                0.87674,              0.0091585,              0.0091585,              0.0091585
                     36,                0.66884,                0.43828,                 1.0492,                0.98229,                0.98137,                0.98815,                0.90352,                0.46385,                0.26022,                0.86376,              0.0091337,              0.0091337,              0.0091337
                     37,                 0.6679,                0.43488,                 1.0494,                0.97277,                0.98949,                0.98999,                0.90416,                0.45379,                0.27311,                0.85478,               0.009109,               0.009109,               0.009109
                     38,                0.67242,                0.43903,                 1.0511,                0.97895,                 0.9955,                0.98906,                0.90067,                0.49224,                0.25935,                0.87649,              0.0090843,              0.0090843,              0.0090843
                     39,                0.64966,                0.42198,                 1.0389,                0.97567,                0.98595,                0.99011,                0.90467,                0.45502,                0.26361,                0.85735,              0.0090595,              0.0090595,              0.0090595
                     40,                0.66307,                0.43579,                 1.0505,                0.98464,                0.99069,                0.98932,                0.91182,                 0.4367,                0.24808,                0.84339,              0.0090347,              0.0090347,              0.0090347
                     41,                0.65619,                0.42938,                  1.043,                0.96759,                0.99763,                0.98843,                 0.9026,                0.48373,                0.25514,                0.86612,                0.00901,                0.00901,                0.00901
                     42,                0.65561,                0.42609,                 1.0416,                0.96991,                0.99092,                0.98869,                0.91025,                0.44988,                0.25377,                0.85811,              0.0089853,              0.0089853,              0.0089853
                     43,                0.64865,                0.41989,                  1.042,                0.98109,                 0.9843,                0.98998,                0.91802,                0.43766,                0.24369,                0.84777,              0.0089605,              0.0089605,              0.0089605
                     44,                0.64754,                0.42051,                 1.0451,                0.98057,                0.98512,                0.98963,                0.91139,                0.43716,                0.23942,                0.85065,              0.0089358,              0.0089358,              0.0089358
                     45,                 0.6429,                0.42222,                 1.0344,                0.97593,                0.99557,                0.98673,                0.89577,                0.46075,                0.25258,                0.86137,               0.008911,               0.008911,               0.008911
                     46,                0.64471,                 0.4185,                 1.0348,                0.98219,                0.98721,                0.98781,                0.90227,                0.47469,                0.25057,                0.86807,              0.0088863,              0.0088863,              0.0088863
                     47,                0.63562,                0.40877,                 1.0371,                0.97731,                0.98767,                0.98877,                0.90734,                  0.451,                0.25017,                0.85099,              0.0088615,              0.0088615,              0.0088615
                     48,                0.64117,                0.41177,                 1.0347,                0.97865,                0.98721,                0.98749,                0.91255,                0.42682,                0.23128,                0.84732,              0.0088368,              0.0088368,              0.0088368
                     49,                 0.6425,                0.41044,                 1.0319,                0.97643,                0.98484,                0.98714,                 0.9046,                0.45619,                0.24517,                0.86188,               0.008812,               0.008812,               0.008812
                     50,                0.63655,                0.40807,                 1.0258,                0.97447,                0.99207,                0.98694,                0.90765,                0.44698,                0.23274,                0.85975,              0.0087872,              0.0087872,              0.0087872
                     51,                0.63882,                0.41068,                 1.0335,                0.97426,                0.99408,                 0.9886,                0.91341,                0.44293,                0.23586,                0.85162,              0.0087625,              0.0087625,              0.0087625
                     52,                0.62827,                0.40035,                  1.029,                0.98419,                0.99069,                0.99077,                0.91623,                 0.4467,                0.23322,                 0.8556,              0.0087378,              0.0087378,              0.0087378
                     53,                0.63339,                 0.4028,                 1.0296,                0.97224,                0.99653,                0.98859,                0.91456,                0.43624,                0.22754,                0.85457,               0.008713,               0.008713,               0.008713
                     54,                0.62917,                0.39825,                 1.0281,                0.97543,                0.99306,                0.99027,                0.91469,                0.43217,                0.23169,                0.84648,              0.0086882,              0.0086882,              0.0086882
                     55,                 0.6291,                0.39468,                 1.0306,                0.97694,                0.99202,                0.98794,                0.91185,                0.45121,                0.23327,                0.85799,              0.0086635,              0.0086635,              0.0086635
                     56,                0.62548,                 0.3958,                 1.0239,                0.97061,                0.98796,                0.98947,                0.91548,                0.43928,                0.23996,                0.85094,              0.0086388,              0.0086388,              0.0086388
                     57,                0.62059,                0.39191,                 1.0183,                0.97616,                0.99319,                  0.988,                0.91778,                 0.4223,                0.22909,                0.84011,               0.008614,               0.008614,               0.008614
                     58,                0.62332,                0.39634,                 1.0227,                0.97787,                0.98353,                0.99108,                0.92086,                0.43623,                0.22312,                0.84788,              0.0085893,              0.0085893,              0.0085893
                     59,                0.61699,                0.39185,                 1.0196,                0.98129,                0.98304,                0.98886,                0.92294,                0.43542,                0.22758,                0.84799,              0.0085645,              0.0085645,              0.0085645
                     60,                0.62442,                0.39533,                 1.0204,                0.97634,                0.98721,                0.98795,                0.91563,                0.44458,                0.22748,                0.85125,              0.0085398,              0.0085398,              0.0085398
                     61,                0.61786,                0.39019,                 1.0169,                0.97863,                 0.9883,                0.98858,                 0.9111,                0.43486,                0.23245,                0.84356,               0.008515,               0.008515,               0.008515
                     62,                0.61519,                0.38701,                 1.0175,                0.98004,                0.99124,                0.99173,                0.91606,                0.43704,                0.22759,                0.85587,              0.0084903,              0.0084903,              0.0084903
                     63,                0.61161,                0.38225,                  1.016,                0.97455,                0.98625,                0.98865,                0.91469,                0.43634,                 0.2204,                0.84699,              0.0084655,              0.0084655,              0.0084655
                     64,                0.60574,                0.38422,                 1.0175,                0.98234,                0.98958,                0.98937,                 0.9227,                0.41401,                0.21724,                0.83693,              0.0084408,              0.0084408,              0.0084408
                     65,                 0.6012,                 0.3823,                 1.0133,                 0.9766,                0.99217,                0.98917,                0.91805,                0.43887,                0.21709,                0.85172,               0.008416,               0.008416,               0.008416
                     66,                0.61069,                0.38247,                 1.0192,                0.97578,                0.98832,                0.98878,                0.91537,                0.42723,                0.23184,                0.84704,              0.0083913,              0.0083913,              0.0083913
                     67,                0.60966,                 0.3844,                 1.0252,                0.97893,                 0.9804,                0.98772,                0.91333,                0.43293,                0.22193,                0.85273,              0.0083665,              0.0083665,              0.0083665
                     68,                0.61074,                0.38208,                 1.0219,                0.98481,                0.98184,                0.98865,                0.90712,                0.43541,                0.22512,                0.85154,              0.0083418,              0.0083418,              0.0083418
                     69,                0.60257,                0.38475,                 1.0163,                 0.9751,                 0.9928,                0.98896,                0.91016,                0.42545,                0.22278,                0.84254,               0.008317,               0.008317,               0.008317
                     70,                0.60843,                0.38287,                 1.0195,                0.98427,                0.99306,                0.98878,                0.91636,                0.42306,                0.21539,                0.84625,              0.0082922,              0.0082922,              0.0082922
                     71,                 0.5992,                0.37877,                 1.0174,                0.97777,                 0.9882,                0.98894,                0.91689,                0.41674,                0.22007,                0.83864,              0.0082675,              0.0082675,              0.0082675
                     72,                0.60329,                0.37771,                 1.0206,                0.97705,                0.98721,                0.98751,                0.91934,                0.41333,                0.22099,                0.83839,              0.0082428,              0.0082428,              0.0082428
                     73,                0.59659,                0.37396,                 1.0175,                0.98319,                 0.9801,                0.98765,                0.92001,                 0.4144,                0.21719,                0.83892,               0.008218,               0.008218,               0.008218
                     74,                0.59884,                0.37094,                 1.0102,                0.98011,                0.98838,                0.99071,                0.91778,                0.41924,                 0.2126,                0.83616,              0.0081932,              0.0081932,              0.0081932
                     75,                0.59658,                0.37627,                 1.0051,                0.98129,                0.98999,                0.99014,                  0.916,                0.40742,                0.21223,                0.83136,              0.0081685,              0.0081685,              0.0081685
                     76,                 0.5973,                0.37683,                 1.0101,                0.98659,                0.98338,                0.99039,                0.92417,                0.41173,                0.21206,                0.83212,              0.0081437,              0.0081437,              0.0081437
                     77,                0.59664,                0.37122,                 1.0109,                0.98287,                0.99083,                0.99025,                0.92581,                0.40849,                0.20717,                0.83266,               0.008119,               0.008119,               0.008119
                     78,                0.59673,                0.37538,                 1.0124,                0.97768,                0.99586,                0.98811,                0.91883,                0.40327,                0.20992,                0.82632,              0.0080942,              0.0080942,              0.0080942
                     79,                0.58876,                 0.3652,                 1.0086,                0.98108,                0.98832,                0.99023,                0.92511,                 0.4136,                0.20827,                 0.8393,              0.0080695,              0.0080695,              0.0080695
                     80,                0.58787,                0.37086,                 1.0085,                0.97652,                0.99559,                0.99048,                0.92602,                0.41226,                0.21437,                0.83373,              0.0080447,              0.0080447,              0.0080447
                     81,                0.58706,                0.36438,                 1.0005,                 0.9774,                0.99653,                0.98856,                0.92536,                0.41313,                0.21122,                0.83269,                0.00802,                0.00802,                0.00802
                     82,                0.58937,                0.36011,                 1.0075,                0.97205,                0.99283,                0.98898,                 0.9285,                 0.4129,                0.20985,                 0.8345,              0.0079953,              0.0079953,              0.0079953
                     83,                0.58504,                0.36583,                 1.0062,                0.97409,                0.99066,                0.98777,                0.92373,                0.40796,                0.21091,                0.83308,              0.0079705,              0.0079705,              0.0079705
                     84,                0.58667,                0.36646,                 1.0057,                  0.977,                0.99537,                0.98763,                0.92382,                0.41553,                 0.2102,                 0.8334,              0.0079457,              0.0079457,              0.0079457
                     85,                0.58212,                0.36118,                 1.0033,                0.98217,                0.98651,                0.98732,                 0.9247,                0.41076,                0.20944,                0.82982,               0.007921,               0.007921,               0.007921
                     86,                0.57836,                0.36382,                 1.0088,                0.97509,                0.99416,                 0.9877,                0.92447,                0.40987,                0.21387,                0.82992,              0.0078963,              0.0078963,              0.0078963
                     87,                0.57206,                0.35572,                 1.0013,                0.97582,                0.99242,                0.98853,                0.92245,                 0.4035,                0.21015,                0.83159,              0.0078715,              0.0078715,              0.0078715
                     88,                0.57422,                0.35669,                 1.0014,                0.98064,                0.99309,                0.98741,                 0.9251,                0.40237,                0.20464,                0.82767,              0.0078467,              0.0078467,              0.0078467
                     89,                0.57837,                0.35885,                 1.0008,                0.97938,                0.98604,                0.98944,                0.92438,                0.40217,                0.20568,                0.82407,               0.007822,               0.007822,               0.007822
                     90,                0.57524,                0.35438,                0.99791,                0.97623,                0.98953,                0.98932,                0.92075,                0.40788,                 0.2079,                0.82621,              0.0077973,              0.0077973,              0.0077973
                     91,                0.57926,                0.35674,                 1.0008,                0.98458,                0.98721,                0.98905,                0.92177,                0.41546,                0.20568,                0.83041,              0.0077725,              0.0077725,              0.0077725
                     92,                0.57099,                0.35995,                0.99618,                0.98442,                0.98958,                0.98992,                0.92227,                0.42272,                0.20347,                0.84107,              0.0077478,              0.0077478,              0.0077478
                     93,                0.57445,                0.35434,                0.99497,                0.98088,                0.98958,                0.98954,                0.92128,                 0.4162,                0.20611,                0.83463,               0.007723,               0.007723,               0.007723
                     94,                0.56563,                0.35599,                0.99784,                0.97935,                0.99069,                0.98881,                0.92407,                0.41019,                0.20477,                0.83222,              0.0076983,              0.0076983,              0.0076983
                     95,                0.57232,                0.35264,                0.99376,                0.98176,                0.98802,                0.98923,                0.92969,                0.41125,                0.20335,                0.83222,              0.0076735,              0.0076735,              0.0076735
                     96,                0.57728,                0.35634,                0.99872,                 0.9777,                0.98958,                0.98881,                0.92095,                0.41696,                0.20307,                0.83619,              0.0076488,              0.0076488,              0.0076488
                     97,                0.56714,                0.35182,                0.99021,                0.97736,                0.98958,                 0.9891,                0.91698,                0.42715,                0.20441,                0.84272,               0.007624,               0.007624,               0.007624
                     98,                0.56521,                0.35249,                 0.9935,                0.97299,                0.99945,                0.98915,                0.92214,                0.42129,                 0.2075,                 0.8371,              0.0075993,              0.0075993,              0.0075993
                     99,                0.56757,                0.34837,                0.99458,                0.97269,                0.99653,                0.98923,                0.92475,                0.41499,                0.20232,                0.83494,              0.0075745,              0.0075745,              0.0075745
                    100,                 0.5653,                0.34947,                0.99343,                0.97509,                0.98953,                0.98987,                0.92324,                 0.4078,                0.20626,                0.82958,              0.0075498,              0.0075498,              0.0075498
                    101,                0.55761,                0.34509,                0.99173,                0.97016,                0.99416,                0.99015,                0.92741,                 0.4034,                0.20247,                0.82932,               0.007525,               0.007525,               0.007525
                    102,                0.55805,                0.34702,                0.99684,                0.97762,                0.98484,                0.98819,                0.91903,                0.40898,                0.20497,                0.83687,              0.0075003,              0.0075003,              0.0075003
                    103,                0.55699,                0.34791,                0.99336,                0.97203,                0.99653,                0.98886,                0.92545,                0.41167,                0.20096,                0.84033,              0.0074755,              0.0074755,              0.0074755
                    104,                0.56146,                0.34233,                 0.9938,                0.97373,                0.99357,                0.98887,                0.92462,                0.41203,                0.20184,                0.83586,              0.0074507,              0.0074507,              0.0074507
                    105,                0.55517,                0.34369,                0.99155,                 0.9733,                0.99608,                0.98849,                0.92173,                0.41098,                0.20025,                0.83558,               0.007426,               0.007426,               0.007426
                    106,                0.55257,                0.34021,                0.98637,                0.97707,                0.99531,                0.98858,                0.92333,                0.40983,                0.20386,                0.83316,              0.0074013,              0.0074013,              0.0074013
                    107,                0.55411,                0.34091,                0.98857,                0.97896,                 0.9882,                0.98805,                0.92298,                0.41202,                0.20096,                0.83176,              0.0073765,              0.0073765,              0.0073765
                    108,                0.54934,                0.33947,                0.98306,                0.98127,                0.99069,                0.98882,                 0.9232,                0.40647,                0.20036,                0.82785,              0.0073517,              0.0073517,              0.0073517
                    109,                0.54843,                0.34175,                0.98238,                0.98024,                0.99361,                0.98891,                0.92253,                0.40961,                0.19783,                0.83154,               0.007327,               0.007327,               0.007327
                    110,                0.55061,                0.33512,                 0.9851,                0.97561,                0.99277,                0.98871,                0.92056,                0.41107,                 0.2001,                0.83221,              0.0073023,              0.0073023,              0.0073023
                    111,                0.54757,                0.33921,                0.98479,                0.98189,                0.98917,                0.98907,                 0.9238,                0.41138,                0.19931,                0.83179,              0.0072775,              0.0072775,              0.0072775
                    112,                0.54695,                0.33613,                0.98135,                0.98193,                0.98991,                0.98849,                0.92531,                0.41303,                 0.1953,                0.83375,              0.0072527,              0.0072527,              0.0072527
                    113,                0.53694,                0.32904,                0.97977,                0.98055,                0.99069,                0.98864,                0.92872,                0.41867,                0.19711,                0.83803,               0.007228,               0.007228,               0.007228
                    114,                0.54646,                0.33223,                0.97933,                0.98141,                0.99069,                0.98846,                0.92465,                0.41102,                0.19548,                0.83305,              0.0072033,              0.0072033,              0.0072033
                    115,                0.54476,                 0.3352,                0.98237,                0.97763,                0.99306,                0.98864,                0.92018,                0.41691,                0.19761,                 0.8394,              0.0071785,              0.0071785,              0.0071785
                    116,                0.54679,                0.33391,                0.98134,                0.97754,                0.99225,                0.98821,                0.92101,                0.42501,                0.19811,                0.84465,              0.0071538,              0.0071538,              0.0071538
                    117,                0.54678,                 0.3333,                0.98991,                0.97786,                0.99188,                0.98798,                0.92189,                0.41951,                 0.1996,                0.84043,               0.007129,               0.007129,               0.007129
                    118,                0.53289,                0.32762,                0.97533,                0.97806,                0.99206,                0.98755,                0.91788,                0.42162,                 0.1956,                0.84361,              0.0071042,              0.0071042,              0.0071042
                    119,                0.54062,                0.32817,                0.98346,                0.97813,                 0.9953,                0.98774,                 0.9181,                0.42806,                0.19939,                0.84914,              0.0070795,              0.0070795,              0.0070795
                    120,                0.53846,                0.33059,                0.98213,                0.97987,                0.99416,                 0.9876,                0.91659,                0.42269,                0.19928,                 0.8472,              0.0070547,              0.0070547,              0.0070547
                    121,                0.54182,                0.33697,                0.98769,                0.97846,                 0.9933,                0.98759,                0.91953,                0.41978,                0.19724,                0.84305,                0.00703,                0.00703,                0.00703
                    122,                0.53405,                0.33069,                0.98212,                0.97594,                0.99883,                0.98757,                0.92049,                0.41337,                0.19398,                0.84011,              0.0070053,              0.0070053,              0.0070053
                    123,                0.53324,                0.32703,                0.98251,                0.98051,                0.99047,                0.98755,                0.92449,                 0.4069,                0.19316,                0.83666,              0.0069805,              0.0069805,              0.0069805
                    124,                0.53478,                0.32529,                0.97872,                0.98029,                0.99397,                 0.9877,                 0.9247,                0.40429,                0.19072,                 0.8325,              0.0069558,              0.0069558,              0.0069558
                    125,                 0.5368,                0.33036,                 0.9794,                0.97699,                0.99416,                0.98767,                0.92532,                0.40516,                0.19022,                0.83282,               0.006931,               0.006931,               0.006931
                    126,                0.53084,                0.32548,                 0.9751,                0.97427,                0.99342,                0.98771,                0.92615,                0.40493,                0.19318,                0.83186,              0.0069063,              0.0069063,              0.0069063
                    127,                0.52915,                0.32242,                 0.9709,                 0.9736,                0.99416,                  0.988,                 0.9255,                0.40775,                0.19585,                0.83296,              0.0068815,              0.0068815,              0.0068815
                    128,                0.53248,                 0.3281,                0.97641,                0.97731,                0.99275,                0.98823,                0.92863,                0.40625,                0.19664,                0.83344,              0.0068568,              0.0068568,              0.0068568
                    129,                0.53791,                 0.3307,                0.98321,                0.97681,                0.99069,                  0.988,                0.92703,                0.40397,                0.19548,                0.83303,               0.006832,               0.006832,               0.006832
                    130,                0.53252,                0.32734,                0.97923,                0.97464,                0.99653,                0.98806,                0.92642,                0.40548,                0.19254,                 0.8351,              0.0068073,              0.0068073,              0.0068073
                    131,                0.52891,                0.32663,                0.97251,                 0.9747,                0.99633,                0.98777,                0.92544,                0.40673,                0.19278,                0.83527,              0.0067825,              0.0067825,              0.0067825
                    132,                0.52263,                0.31985,                0.97169,                0.97402,                0.99607,                 0.9882,                0.92667,                 0.4072,                0.19179,                0.83807,              0.0067577,              0.0067577,              0.0067577
                    133,                 0.5275,                0.32346,                0.97563,                0.97407,                0.99653,                0.98787,                0.92617,                0.41021,                0.19022,                 0.8435,               0.006733,               0.006733,               0.006733
                    134,                0.51917,                0.31714,                 0.9705,                0.97408,                0.99621,                 0.9876,                0.92614,                0.40893,                 0.1901,                0.84232,              0.0067082,              0.0067082,              0.0067082
                    135,                0.52599,                0.32857,                0.97827,                0.98258,                0.98888,                0.98765,                 0.9258,                 0.4089,                0.19022,                0.84409,              0.0066835,              0.0066835,              0.0066835
                    136,                0.52108,                0.31972,                0.97145,                0.98247,                0.99289,                0.98787,                0.92641,                0.41109,                0.19027,                 0.8456,              0.0066587,              0.0066587,              0.0066587
                    137,                 0.5222,                0.32032,                 0.9741,                0.97293,                0.99653,                0.98833,                0.92673,                 0.4097,                0.19122,                0.84362,               0.006634,               0.006634,               0.006634
                    138,                0.52391,                0.31917,                0.97469,                0.97446,                0.99562,                0.98834,                0.92814,                0.40651,                0.19166,                0.84054,              0.0066092,              0.0066092,              0.0066092
                    139,                0.52745,                0.31978,                0.97644,                0.98108,                 0.9898,                0.98826,                0.92845,                0.40591,                0.19008,                0.83891,              0.0065845,              0.0065845,              0.0065845
                    140,                0.51999,                 0.3192,                0.97375,                0.98261,                0.99036,                0.98832,                0.92773,                0.40417,                 0.1901,                0.83759,              0.0065598,              0.0065598,              0.0065598
                    141,                0.52014,                0.32029,                 0.9766,                0.97916,                0.99455,                0.98831,                0.92766,                0.40529,                0.18949,                0.83784,               0.006535,               0.006535,               0.006535
                    142,                 0.5165,                0.31737,                0.97081,                0.98262,                0.99186,                0.98817,                0.92837,                0.40568,                0.19113,                0.83628,              0.0065102,              0.0065102,              0.0065102
                    143,                0.51271,                0.31625,                0.96859,                0.97637,                0.99653,                0.98812,                0.92865,                0.40569,                0.18862,                0.83629,              0.0064855,              0.0064855,              0.0064855
                    144,                0.51334,                0.31493,                0.97029,                0.98182,                0.98854,                0.98778,                0.92673,                0.40608,                0.18825,                0.83682,              0.0064608,              0.0064608,              0.0064608
                    145,                 0.5165,                0.31845,                0.97043,                 0.9819,                 0.9888,                0.98819,                0.92883,                0.40679,                0.18607,                0.83682,               0.006436,               0.006436,               0.006436
